,x,y,S-S22
721,24.5338,499.398,-0.00171847
722,17.6777,17.6777,
723,35.3553,35.3553,
724,53.033,53.033,
725,70.7107,70.7107,
726,88.3884,88.3884,
727,106.066,106.066,
728,123.744,123.744,
729,141.421,141.421,
730,159.099,159.099,
731,176.777,176.777,
732,194.454,194.454,
733,212.132,212.132,
734,229.81,229.81,
735,247.487,247.487,
736,265.165,265.165,
737,282.843,282.843,
738,300.52,300.52,
739,318.198,318.198,
740,335.876,335.876,
741,0.0,525.335,-0.00276209
742,0.0,551.705,-0.0053343
743,0.0,579.151,-0.00937101
744,0.0,607.718,-0.0135567
745,0.0,637.451,-0.0178703
746,0.0,668.398,-0.0222072
747,0.0,700.608,-0.0264731
748,0.0,734.134,-0.0305923
749,0.0,769.027,-0.0345503
750,0.0,805.346,-0.0382858
751,0.0,843.147,-0.041749
752,0.0,882.491,-0.0449146
753,0.0,923.442,-0.0478252
754,0.0,966.064,-0.0504645
755,0.0,1010.43,-0.0528331
756,0.0,1056.6,-0.0549405
757,0.0,1104.66,-0.0567755
758,0.0,1154.68,-0.0583637
759,0.0,1206.74,-0.0597044
760,0.0,1260.93,-0.0608426
761,0.0,1317.33,-0.0617211
762,0.0,1376.03,-0.0623424
763,0.0,1437.13,-0.0627722
764,0.0,1500.73,-0.0630809
765,0.0,1566.92,-0.0631186
766,0.0,1635.81,-0.0629727
767,0.0,1707.51,-0.0626893
768,0.0,1782.14,-0.0622089
769,0.0,1859.82,-0.0615581
770,0.0,1940.67,-0.0607152
771,0.0,2024.82,-0.0598455
772,0.0,2112.41,-0.0586026
773,0.0,2203.57,-0.0574252
774,0.0,2298.45,-0.0559318
775,0.0,2397.21,-0.0542915
776,0.0,-2397.21,-0.157019
777,0.0,-2298.45,-0.153685
778,0.0,-2203.57,-0.150731
779,0.0,-2112.41,-0.147609
780,0.0,-2024.82,-0.144889
781,0.0,-1940.67,-0.141805
782,0.0,-1859.82,-0.138753
783,0.0,-1782.14,-0.135734
784,0.0,-1707.51,-0.132651
785,0.0,-1635.81,-0.129474
786,0.0,-1566.92,-0.12629
